#,Date,"Time,","Temp, °C (LGR S/N: 20641674, SEN S/N: 20641674, LBL: 2019_07_08_Aoa)","Intensity, lum/ft² (LGR S/N: 20641674, SEN S/N: 20641674)"
1,8/7/19,5:00:00,31.166,0
2,8/7/19,5:30:00,30.963,1
3,8/7/19,6:00:00,29.552,0
4,8/7/19,6:30:00,29.552,0
5,8/7/19,7:00:00,30.154,0
6,8/7/19,7:30:00,32.704,41
7,8/7/19,8:00:00,29.352,512
8,8/7/19,8:30:00,29.352,256
9,8/7/19,9:00:00,29.053,136
10,8/7/19,9:30:00,28.853,109
11,8/7/19,10:00:00,28.754,27
12,8/7/19,10:30:00,28.655,0
13,8/7/19,11:00:00,28.555,0
14,8/7/19,11:30:00,28.555,0
15,8/8/19,12:00:00,28.555,0
16,8/8/19,12:30:00,28.555,0
17,8/8/19,1:00:00,28.655,0
18,8/8/19,1:30:00,28.555,0
19,8/8/19,2:00:00,28.555,0
20,8/8/19,2:30:00,28.555,0
21,8/8/19,3:00:00,28.555,0
22,8/8/19,3:30:00,28.555,0
23,8/8/19,4:00:00,28.555,0
24,8/8/19,4:30:00,28.555,0
25,8/8/19,5:00:00,28.555,0
26,8/8/19,5:30:00,28.555,0
27,8/8/19,6:00:00,28.555,0
28,8/8/19,6:30:00,28.555,0
29,8/8/19,7:00:00,28.555,0
30,8/8/19,7:30:00,28.555,0
31,8/8/19,8:00:00,28.456,0
32,8/8/19,8:30:00,28.456,0
33,8/8/19,9:00:00,28.456,0
34,8/8/19,9:30:00,28.456,0
35,8/8/19,10:00:00,28.456,0
36,8/8/19,10:30:00,28.456,0
37,8/8/19,11:00:00,28.456,38
38,8/8/19,11:30:00,28.655,117
39,8/8/19,12:00:00,28.853,336
40,8/8/19,12:30:00,29.053,352
41,8/8/19,1:00:00,29.452,496
42,8/8/19,1:30:00,29.352,864
43,8/8/19,2:00:00,29.352,464
44,8/8/19,2:30:00,29.752,576
45,8/8/19,3:00:00,29.752,368
46,8/8/19,3:30:00,29.652,400
47,8/8/19,4:00:00,29.853,512
48,8/8/19,4:30:00,30.154,992
49,8/8/19,5:00:00,30.154,800
50,8/8/19,5:30:00,29.953,960
51,8/8/19,6:00:00,30.154,512
52,8/8/19,6:30:00,30.054,1088
53,8/8/19,7:00:00,29.953,1344
54,8/8/19,7:30:00,29.853,352
55,8/8/19,8:00:00,30.054,1152
56,8/8/19,8:30:00,29.552,992
57,8/8/19,9:00:00,29.452,432
58,8/8/19,9:30:00,29.252,152
59,8/8/19,10:00:00,29.053,49
60,8/8/19,10:30:00,28.953,0
61,8/8/19,11:00:00,28.853,0
62,8/8/19,11:30:00,28.754,0
63,8/9/19,12:00:00,28.655,0
64,8/9/19,12:30:00,28.655,0
65,8/9/19,1:00:00,28.655,0
66,8/9/19,1:30:00,28.655,0
67,8/9/19,2:00:00,28.655,0
68,8/9/19,2:30:00,28.655,0
69,8/9/19,3:00:00,28.655,0
70,8/9/19,3:30:00,28.655,0
71,8/9/19,4:00:00,28.655,0
72,8/9/19,4:30:00,28.555,0
73,8/9/19,5:00:00,28.555,0
74,8/9/19,5:30:00,28.555,0
75,8/9/19,6:00:00,28.555,0
76,8/9/19,6:30:00,28.555,0
77,8/9/19,7:00:00,28.555,0
78,8/9/19,7:30:00,28.555,0
79,8/9/19,8:00:00,28.555,0
80,8/9/19,8:30:00,28.555,0
81,8/9/19,9:00:00,28.555,0
82,8/9/19,9:30:00,28.555,0
83,8/9/19,10:00:00,28.456,0
84,8/9/19,10:30:00,28.456,0
85,8/9/19,11:00:00,28.456,34
86,8/9/19,11:30:00,28.655,102
87,8/9/19,12:00:00,28.853,144
88,8/9/19,12:30:00,29.252,320
89,8/9/19,1:00:00,29.352,512
90,8/9/19,1:30:00,29.452,480
91,8/9/19,2:00:00,29.853,576
92,8/9/19,2:30:00,29.853,608
93,8/9/19,3:00:00,29.953,960
94,8/9/19,3:30:00,30.154,1024
95,8/9/19,4:00:00,29.953,800
96,8/9/19,4:30:00,29.853,576
97,8/9/19,5:00:00,30.154,864
98,8/9/19,5:30:00,30.154,608
99,8/9/19,6:00:00,30.054,512
100,8/9/19,6:30:00,29.853,288
101,8/9/19,7:00:00,29.953,672
102,8/9/19,7:30:00,29.752,576
103,8/9/19,8:00:00,29.652,480
104,8/9/19,8:30:00,29.352,336
